id,name,type,price
1,Leather Wallet,Fashion accessories,45.99
2,Bluetooth Earbuds,Electronic accessories,89.5
3,Vitamin C Serum,Health and beauty,25.75
4,Organic Green Tea,Food and beverages,15.2
5,Yoga Mat,Sports and travel,39.99
6,Wall Clock,Home and lifestyle,29.9
7,Silk Scarf,Fashion accessories,34.5
8,Wireless Charger,Electronic accessories,22.0
9,Herbal Shampoo,Health and beauty,18.45
10,Gourmet Coffee Beans,Food and beverages,12.95
11,Hiking Backpack,Sports and travel,65.0
12,Scented Candles Set,Home and lifestyle,27.5
13,Sunglasses,Fashion accessories,49.95
14,Smartwatch,Electronic accessories,129.99
15,Face Moisturizer,Health and beauty,21.1
16,Dark Chocolate Box,Food and beverages,9.75
17,Resistance Bands,Sports and travel,19.99
18,Ceramic Vase,Home and lifestyle,33.4
19,Wool Beanie,Fashion accessories,17.6
20,Power Bank 10000mAh,Electronic accessories,38.8
21,Charm Bracelet,Fashion accessories,22.75
22,USB-C Cable,Electronic accessories,9.99
23,Aloe Vera Gel,Health and beauty,14.3
24,Sparkling Water,Food and beverages,3.5
25,Camping Tent,Sports and travel,150.0
26,Throw Pillow,Home and lifestyle,18.9
27,Leather Belt,Fashion accessories,40.0
28,Noise Cancelling Headphones,Electronic accessories,199.99
29,Lip Balm Set,Health and beauty,12.0
30,Organic Honey,Food and beverages,11.2
31,Running Shoes,Sports and travel,75.0
32,Indoor Plant Pot,Home and lifestyle,25.0
33,Fashion Sunglasses,Fashion accessories,55.0
34,Tablet Stand,Electronic accessories,29.99
35,Facial Cleanser,Health and beauty,19.5
36,Granola Bars,Food and beverages,6.4
37,Travel Pillow,Sports and travel,15.0
38,Decorative Lamp,Home and lifestyle,44.75
39,Silk Tie,Fashion accessories,30.0
40,Portable Speaker,Electronic accessories,59.99
41,Beaded Necklace,Fashion accessories,27.5
42,Gaming Mouse,Electronic accessories,49.99
43,Essential Oils Set,Health and beauty,35.0
44,Protein Powder,Food and beverages,45.25
45,Mountain Bike Helmet,Sports and travel,85.0
46,Wooden Picture Frame,Home and lifestyle,22.3
47,Canvas Tote Bag,Fashion accessories,18.75
48,Laptop Sleeve,Electronic accessories,24.5
49,Hand Cream,Health and beauty,9.99
50,Organic Almonds,Food and beverages,12.8
51,Fitness Tracker,Sports and travel,79.95
52,Wall Art Poster,Home and lifestyle,15.6
53,Stud Earrings,Fashion accessories,16.4
54,Portable SSD,Electronic accessories,89.99
55,Bath Bomb Set,Health and beauty,22.0
56,Herbal Tea Mix,Food and beverages,7.25
57,Trekking Poles,Sports and travel,55.0
58,Cozy Blanket,Home and lifestyle,38.5
59,Wool Socks,Fashion accessories,13.9
60,Smart Home Hub,Electronic accessories,99.99
